exp,napps,n_fam,cores,mem_mul,perf,frac_gap,add_ccs,Conlloovia_vars,Conlloovia_status,Conlloovia_lower_bound_d_h,All_lower_bound_d_h_0.5,Conlloovia_cost_d_h,FFC_cost_d_h,FFP_cost_d_h,Fcma_1_0.5_cost_d_h,Conlloovia_creation_time_s,Conlloovia_solving_time_s,FFC_creation_time_s,FFC_solving_time_s,FFP_creation_time_s,FFP_solving_time_s,Fcma_1_0.5_pre_alloc_time_s,Fcma_1_0.5_alloc_time_s,Conlloovia_fault_tolerance_m_e_0.5,FFC_fault_tolerance_m_e_0.5,FFP_fault_tolerance_m_e_0.5,Fcma_1_0.5_fault_tolerance_m,Conlloovia_isolation_m,FFC_isolation_m,FFP_isolation_m,Fcma_1_0.5_isolation_m,Conlloovia_vm_recycling_m,FFC_vm_recycling_m,FFP_vm_recycling_m,Fcma_1_0.5_vm_recycling_m,Conlloovia_vm_load_balance_m,FFC_vm_load_balance_m,FFP_vm_load_balance_m,Fcma_1_0.5_vm_load_balance_m
51,15,1,0.12,8,0.4,0.02,False,28914,OPTIMAL,2.8536192,2.88,2.8800000000000003,3.852,6.528000000000004,2.88,1.6104,8.7527,0.0041,0.0665,0.0039,0.1433,0.1112,0.0626,0.06666666666666667,0.0,0.6,0.6,0.14665697674418604,0.0045662100456621,0.33088235294117646,0.0601010101010101,0.8,1.0,0.0,0.0,0.25,1.0,0.02380181020424923,0.5777777777777778
52,15,1,3.0,2,0.02,0.02,False,1096842,ABORTED,1450.068,1451.1360000000002,,1497.5999999999892,2690.3040000000874,1496.4479999999892,66.6869,602.2633,0.0033,2.9481,0.0032,5.4782,0.0907,1.1848,,0.7333333333333333,1.0,1.0,,0.047099246493175685,1.0,0.0897169497169492,,0.0,0.0,0.9976905311778291,,0.05871376526195803,0.00014273479874393378,0.16200010224600386
53,15,1,3.0,2,0.4,0.02,False,21297,OPTIMAL,38.292,38.400000000000006,38.97600000000001,40.32000000000001,65.28000000000004,39.93600000000001,1.2219,66.5023,0.0032,0.0778,0.0033,0.0984,0.1040,0.2055,0.4666666666666667,0.06666666666666667,0.6,0.5333333333333333,0.30399159663865544,0.08674843674843674,1.0,0.20575396825396822,0.08866995073891626,0.0,0.0,0.8269230769230769,0.058823529411764705,0.1111111111111111,0.011225971980466992,0.6111111111111112
54,15,1,3.0,8,0.02,0.02,False,1100655,ABORTED,1720.6668,1722.624,,2067.41399999999,3147.4459999999603,1770.6239999999875,67.4140,655.8743,0.0033,3.2135,0.0034,42.9249,0.0963,7.3421,,0.9333333333333333,1.0,1.0,,0.05091816519353855,1.0,0.09307139069043804,,0.0,0.0,0.9990062934746605,,0.012918023056726697,0.0016323540603937262,0.08471496528236028
55,15,1,3.0,8,0.4,0.02,False,52731,INTEGER_FEASIBLE,87.715,88.32000000000001,92.11200000000005,111.22799999999998,139.10799999999938,96.76800000000006,3.0293,603.9799,0.0033,0.1538,0.0033,1.6965,0.0964,0.4155,0.6666666666666666,0.26666666666666666,1.0,1.0,0.18548752834467122,0.06186704506363949,1.0,0.22400000000000003,0.0,0.0,0.0,1.0,0.03571428571428571,0.06142156862745098,0.025142094531347643,0.3033333333333334
56,15,4,0.12,2,0.02,0.02,False,1012051,INTEGER_FEASIBLE,6.832,6.959599999999999,9.03368,52.8576,55.699000000000275,7.23872,62.0459,621.2470,0.0123,0.5729,0.0118,1.4332,0.5584,0.1212,0.06666666666666667,0.0,1.0,0.4666666666666667,0.07483960798961783,0.0020017171929646678,0.1674925627743452,0.2057703081232493,0.0,0.0,0.0,0.47058823529411764,0.2,0.2,0.001310615989515072,0.3555555555555555
57,15,4,0.12,2,0.4,0.02,False,122976,INTEGER_FEASIBLE,0.36290853,0.4292,0.53,5.28576,1.7519999999999993,0.4292,7.0377,603.5715,0.0122,0.1181,0.0119,0.0872,0.5394,0.0409,0.0,0.0,0.3333333333333333,0.0,0.12877846790890268,0.0051813471502590676,0.11342592592592593,0.13703703703703704,0.0,1.0,0.0,0.8,0.3333333333333333,1.0,0.041666666666666664,0.9
58,15,4,0.12,8,0.02,0.02,False,933178,INTEGER_FEASIBLE,4.0566637,4.151439999999999,7.50692,131.3376,27.156000000000123,4.33864,56.4710,624.2155,0.0123,1.0175,0.0118,0.6473,0.5371,0.0940,0.06666666666666667,0.0,1.0,0.2,0.2614764089649383,0.00200376762372193,0.3079621095750128,0.32441510695187165,,0.0,0.0,0.19607843137254902,0.25,0.1111111111111111,0.004693851136251539,0.6666666666666666
59,15,4,0.12,8,0.4,0.02,False,122610,INTEGER_FEASIBLE,0.56061077,0.61232,0.82012,6.201600000000001,4.014999999999998,0.7202,7.0009,605.8501,0.0122,0.0970,0.0116,0.1302,0.5154,0.1165,0.0,0.0,0.4666666666666667,0.26666666666666666,0.22999999999999998,0.004901960784313725,0.19153679653679653,0.20833333333333331,0.0,1.0,0.0,0.375,0.2,1.0,0.02542196436321283,0.8166666666666667
60,15,4,3.0,2,0.02,0.02,False,2408607,ABORTED,122.655,124.83655999999999,,454.5753600000003,1839.6000000000747,127.75383999999998,149.1134,643.0258,0.0085,0.4381,0.0081,3.9437,0.5333,0.1672,,0.6,1.0,0.9333333333333333,,0.0449671863071895,1.0,0.2910590277777777,,0.0,0.0,0.9377845220030349,,0.11247835497835498,0.00030861638648054613,0.2744444444444445
61,15,4,3.0,2,0.4,0.02,False,158503,INTEGER_FEASIBLE,10.962,11.30864,12.94144,102.19135999999999,72.1240000000003,11.67344,9.3893,605.4625,0.0083,0.1129,0.0079,0.2282,0.5487,0.0693,0.0,0.2,0.7333333333333333,0.06666666666666667,0.3448412698412699,0.06607843137254901,1.0,0.39081632653061227,0.0,0.9310344827586207,0.0,0.7777777777777778,0.16666666666666666,0.1,0.004048582995951417,0.8277777777777777
62,15,4,3.0,8,0.02,0.02,False,2196629,ABORTED,281.892,281.892,,1255.1238399999988,1242.4832000000981,303.5864000000002,135.3769,692.9449,0.0085,1.0542,0.0081,15.0872,0.3509,0.6344,,0.6,1.0,0.8,,0.03878441064357515,1.0,0.17934731106372895,,0.0,0.0,0.8819652486518874,,0.05291143353836852,0.002009959124997364,0.2357828282828283
63,15,4,3.0,8,0.4,0.02,False,139779,INTEGER_FEASIBLE,9.345,9.399759999999999,11.3808,110.85824,140.24239999999966,11.2296,8.2380,603.7250,0.0085,0.0893,0.0079,0.7959,0.7529,0.1916,0.0,0.2,0.7333333333333333,0.13333333333333333,0.7222222222222222,0.04707221673254282,0.9357142857142857,0.36904761904761907,0.0,0.5217391304347826,0.0,0.3508771929824561,0.1111111111111111,0.125,0.013437221327228348,0.888888888888889
64,30,1,0.12,2,0.02,0.02,False,670461,ABORTED,79.058,79.10400000000001,,80.06400000000004,81.98399999999955,79.20000000000005,40.1510,614.4297,0.0070,1.4388,0.0070,1.9077,0.2108,0.1694,,0.06666666666666667,0.9666666666666667,1.0,,0.0033528255368562507,0.13969508568454703,0.07467501366142783,,0.0,0.0,0.9890909090909091,,0.05555555555555555,0.00117096018735363,0.31759259259259254
65,30,1,0.12,2,0.4,0.02,False,123783,OPTIMAL,6.812,6.816000000000001,6.912000000000001,6.912000000000001,7.200000000000005,6.912000000000001,6.9285,336.3631,0.0069,0.1602,0.0071,0.1826,0.2086,0.1435,0.03333333333333333,0.0,0.4666666666666667,0.3333333333333333,0.1737149579441669,0.003554328708227477,0.13437085137085136,0.061391660940445195,0.3333333333333333,0.6666666666666666,0.0,0.6666666666666666,0.1111111111111111,0.5,0.013333333333333334,0.7333333333333333
66,30,1,0.12,8,0.02,0.02,False,413578,ABORTED,44.31888,44.35200000000001,,59.868,92.83199999999997,44.448,24.6382,611.1469,0.0072,1.0925,0.0070,2.1217,0.2075,0.1808,,0.0,1.0,0.9666666666666667,,0.0020194963321260853,0.19972915743339736,0.07257087986882939,,0.0,0.0,0.9330453563714903,,0.1,0.0017560792929427274,0.3255555555555556
67,30,1,0.12,8,0.4,0.02,False,118943,INTEGER_FEASIBLE,6.0059808,6.048,6.144,7.062,12.67200000000001,6.048,6.6539,605.9106,0.0071,0.1319,0.0070,0.3384,0.2080,0.1632,0.06666666666666667,0.0,0.43333333333333335,0.3,0.21519134151193953,0.005268827276133384,0.30606060606060603,0.11051407742584211,0.75,0.7272727272727273,0.0,0.0,0.1,0.5,0.011270257135635533,0.7722222222222221
68,30,1,3.0,2,0.02,0.02,False,1606374,ABORTED,1642.921,1647.3600000000004,,1698.047999999987,2402.6880000000765,1695.743999999987,97.0124,648.4764,0.0058,4.0355,0.0060,4.5474,0.1748,2.8147,,0.8,1.0,0.9666666666666667,,0.0817447269683042,1.0,0.15488267770876463,,0.0,0.0,1.0,,0.03998169377937253,0.0003274407331793813,0.2045757956518826
69,30,1,3.0,2,0.4,0.02,False,158661,INTEGER_FEASIBLE,146.738,148.608,157.4400000000001,150.9120000000001,198.52800000000016,149.7600000000001,8.9509,603.0791,0.0059,0.3902,0.0059,0.4580,0.1965,0.4440,0.7666666666666667,0.3,0.9,0.8666666666666667,0.2936928811928812,0.08179477484290319,1.0,0.14426406926406923,0.0,0.0,0.0,0.9769230769230769,0.015151515151515154,0.04773210364514712,0.0032637783658763155,0.4070370370370371
70,30,1,3.0,8,0.02,0.02,False,2042646,ABORTED,2406.115,2410.1760000000004,,3017.195999999988,3544.404000000431,2583.455999999985,125.6235,678.3809,0.0059,4.8890,0.0058,65.0389,0.1786,28.5544,,0.7666666666666667,1.0,0.9333333333333333,,0.0822676604562002,0.9962890033323235,0.15615974459959353,,0.0,0.0,0.5357142857142857,,0.0053356595818003765,0.0018719791690263055,0.15643029384902665
71,30,1,3.0,8,0.4,0.02,False,84729,INTEGER_FEASIBLE,90.629604,90.629604,102.49200000000006,109.54199999999997,158.62399999999954,101.00399999999996,4.8151,601.8015,0.0057,0.2240,0.0058,1.4516,0.1909,1.3441,0.36666666666666664,0.13333333333333333,0.6333333333333333,0.5666666666666667,0.3139569160997733,0.09184763649049363,0.8875,0.17458791208791216,0.0,0.0,0.0,0.7,0.02857142857142857,0.04761904761904761,0.027619057787983188,0.5874867724867724
72,30,4,0.12,2,0.02,0.02,False,2946350,ABORTED,10.939,11.129919999999998,,66.95295999999999,55.11500000000027,11.129919999999998,177.9646,716.3457,0.0207,0.6991,0.0200,1.6352,0.9641,0.1165,,0.0,0.8333333333333334,0.3333333333333333,,0.0028710418889635997,0.1456165247555976,0.14564265205976434,,0.0,0.0,0.09482758620689655,,0.14285714285714285,0.0013245033112582781,0.6166666666666668
73,30,4,0.12,2,0.4,0.02,False,472626,INTEGER_FEASIBLE,0.69560562,0.75956,2.1167999999999996,7.04768,3.2849999999999984,0.75956,27.1498,609.4942,0.0205,0.1233,0.0200,0.1565,1.3410,0.0887,0.0,0.0,0.3333333333333333,0.0,0.04159663865546218,0.003436426116838488,0.1089337822671156,0.14754689754689757,0.0,0.0,0.0,0.75,0.5,1.0,0.022222222222222223,0.9166666666666666
74,30,4,0.12,8,0.02,0.02,False,4098028,ABORTED,19.00875,19.2556,,184.50688,219.0730000000038,19.3468,250.7684,711.3149,0.0209,1.3936,0.0201,4.8086,0.9906,0.1607,,0.0,1.0,0.43333333333333335,,0.002286657482982734,0.37367544151949356,0.16091246467844933,,0.0,0.0,0.5362318840579711,,0.07692307692307693,0.000587214275408133,0.5166666666666667
75,30,4,0.12,8,0.4,0.02,False,481701,INTEGER_FEASIBLE,0.88571837,0.88571837,2.6728,8.2688,9.709000000000028,1.0082,27.7859,624.5612,0.0204,0.1272,0.0202,0.3655,1.0807,0.2114,0.0,0.0,0.7333333333333333,0.0,0.1117283950617284,0.0028011204481792717,0.33421052631578946,0.18138888888888888,0.0,0.0,0.0,0.5,0.3333333333333333,1.0,0.010668019713760158,0.9
76,30,4,3.0,2,0.02,0.02,False,8626986,CBC_ERROR,,330.63376000000005,,3726.46079999999,2886.71199999985,338.4817599999999,545.7596,844.4115,0.0136,4.2792,0.0128,6.3582,0.8557,0.2813,,0.6666666666666666,1.0,1.0,,0.05652100374602764,1.0,0.16492580242580235,,0.0,0.0,0.9655172413793104,,0.036848527279770865,0.00020030684576052783,0.25980158730158726
77,30,4,3.0,2,0.4,0.02,False,611159,INTEGER_FEASIBLE,18.086,18.547359999999998,26.854239999999997,159.01327999999995,132.5680000000006,19.20416,35.7020,613.1879,0.0129,0.2664,0.0127,0.3171,2.3806,0.1577,0.1,0.13333333333333333,0.9,0.2,0.36802721088435375,0.10955952855623909,1.0,0.4691919191919192,0.0,0.0,0.0,0.4107142857142857,0.07142857142857142,0.06652777777777778,0.004543978450127314,0.8055555555555556
78,30,4,3.0,8,0.02,0.02,False,9184892,CBC_ERROR,,349.3147200000001,,4757.983360000014,2782.46800000033,394.24544000000077,549.9415,679.9296,0.0131,3.6651,0.0125,75.8898,0.7367,1.7535,,0.5666666666666667,1.0,0.9666666666666667,,0.05030538248430378,1.0,0.20052669552669541,,0.0,0.0,0.9293893129770993,,0.00730351754540519,0.0017759255717061135,0.2393243637768255
79,30,4,3.0,8,0.4,0.02,False,477996,INTEGER_FEASIBLE,19.971,19.971,48.09432,255.3696,154.49839999999912,23.208239999999996,28.1775,616.0990,0.0132,0.2365,0.0126,4.0230,1.1448,0.2988,0.0,0.23333333333333334,0.9,0.16666666666666666,0.5645363408521303,0.05150375939849624,0.9583333333333334,0.3146825396825397,0.0,0.0,0.011655011655011656,0.5689655172413793,0.052631578947368425,0.052631578947368425,0.08764584882231942,0.8333333333333334
