exp,napps,n_fam,cores,mem_mul,perf,frac_gap,add_ccs,Conlloovia_vars,Conlloovia_status,Conlloovia_lower_bound_d_h,All_lower_bound_d_h_0.5,Conlloovia_cost_d_h,FFC_cost_d_h,FFP_cost_d_h,Fcma_1_0.5_cost_d_h,Conlloovia_creation_time_s,Conlloovia_solving_time_s,FFC_creation_time_s,FFC_solving_time_s,FFP_creation_time_s,FFP_solving_time_s,Fcma_1_0.5_pre_alloc_time_s,Fcma_1_0.5_alloc_time_s,Conlloovia_fault_tolerance_m_e_0.5,FFC_fault_tolerance_m_e_0.5,FFP_fault_tolerance_m_e_0.5,Fcma_1_0.5_fault_tolerance_m,Conlloovia_isolation_m,FFC_isolation_m,FFP_isolation_m,Fcma_1_0.5_isolation_m,Conlloovia_vm_recycling_m,FFC_vm_recycling_m,FFP_vm_recycling_m,Fcma_1_0.5_vm_recycling_m,Conlloovia_vm_load_balance_m,FFC_vm_load_balance_m,FFP_vm_load_balance_m,Fcma_1_0.5_vm_load_balance_m
12,1,4,3.0,2,0.02,0.02,False,2355,OPTIMAL,5.214,5.255999999999999,5.255999999999999,21.14304,9.343999999999996,5.547999999999999,0.1893,0.4317,0.0048,0.0270,0.0043,0.0367,0.0308,0.0343,1.0,0.0,1.0,0.0,0.10416666666666667,0.049516908212560384,1.0,0.43030303030303035,0.0,0.0,0.0,0.631578947368421,0.3333333333333333,0.5,0.03125,0.3333333333333333
13,1,4,3.0,2,0.4,0.02,False,396,OPTIMAL,0.7296,0.7296,0.7296,2.64288,1.752,0.7296,0.0282,0.0551,0.0048,0.0206,0.0045,0.0195,0.1660,0.0026,0.0,0.0,1.0,0.0,0.5,0.16666666666666666,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.16666666666666666,1.0
14,1,4,3.0,8,0.02,0.02,False,35427,OPTIMAL,17.5104,17.5104,17.5104,440.31360000000035,429.99999999999386,17.854400000000002,2.4314,6.6483,0.0046,0.2683,0.0044,2.0188,0.0386,0.0745,1.0,1.0,1.0,1.0,0.1111111111111111,0.03991841491841492,1.0,0.46759259259259256,1.0,0.0,0.0,0.8367346938775511,0.3333333333333333,0.027777777777777776,0.0008,0.16666666666666666
15,1,4,3.0,8,0.4,0.02,False,1935,OPTIMAL,2.0959999999999996,2.0959999999999996,2.0959999999999996,40.8624,3.095999999999999,2.0959999999999996,0.1333,0.3373,0.0045,0.0298,0.0041,0.0296,0.0471,0.0188,0.0,1.0,1.0,0.0,0.625,0.07212475633528265,1.0,0.625,0.8571428571428571,0.8,0.0,0.8571428571428571,0.5,0.3333333333333333,0.1111111111111111,0.5
16,2,1,0.12,2,0.02,0.02,False,6561,OPTIMAL,10.296,10.368000000000002,10.368,10.944,11.712000000000009,10.368000000000002,0.3959,1.1821,0.0015,0.1680,0.0016,0.2227,0.0232,0.0106,0.5,0.0,1.0,1.0,0.015075463600704666,0.006061066527029396,0.1631537861046058,0.10537790697674418,0.3333333333333333,0.0,0.0,0.9629629629629629,0.3333333333333333,0.41666666666666663,0.00819672131147541,0.29166666666666663
17,2,1,0.12,2,0.4,0.02,False,432,OPTIMAL,0.192,0.192,0.192,0.192,0.192,0.192,0.0279,0.0721,0.0015,0.0110,0.0017,0.0097,0.0216,0.0057,0.5,0.0,0.0,0.0,0.625,0.1111111111111111,0.3214285714285714,0.25,0.0,1.0,1.0,1.0,0.5,1.0,0.5,1.0
18,2,1,0.12,8,0.02,0.02,False,7803,OPTIMAL,12.461,12.48,12.672,14.124,20.928000000000015,12.48,0.4679,2.0256,0.0015,0.2599,0.0016,0.3919,0.0236,0.0183,0.5,0.5,1.0,1.0,0.03012639482022317,0.0025592478346989694,0.19510703363914372,0.08222943722943724,0.7272727272727273,0.7272727272727273,0.0,0.8,0.25,0.6666666666666666,0.005519384433264279,0.26666666666666666
19,2,1,0.12,8,0.4,0.02,False,594,OPTIMAL,0.4708961,0.48,0.48000000000000004,0.856,1.0559999999999998,0.48,0.0367,2.1671,0.0015,0.0161,0.0016,0.0210,0.0218,0.0087,0.0,0.0,1.0,0.0,0.21428571428571427,0.027777777777777776,0.3181818181818182,0.25,0.4,1.0,0.0,0.8,0.3333333333333333,1.0,0.12878787878787878,0.75
20,2,1,3.0,2,0.02,0.02,False,12465,INTEGER_FEASIBLE,108.302,108.67200000000001,112.89600000000009,111.36000000000007,180.4799999999982,111.74400000000007,0.8299,600.6392,0.0012,0.1451,0.0013,0.3357,0.0258,0.1038,1.0,1.0,1.0,1.0,0.3993350349759614,0.06317647058823529,1.0,0.2074451410658307,0.0,0.0,0.0,0.9484536082474226,0.01282051282051282,0.07670454545454546,0.002127659574468085,0.07500000000000001
21,2,1,3.0,2,0.4,0.02,False,420,OPTIMAL,2.112,2.112,2.112,2.3040000000000003,2.4959999999999996,2.112,0.0662,0.1974,0.0013,0.0104,0.0014,0.0144,0.0253,0.0069,0.0,0.0,1.0,0.5,0.7037037037037037,0.09090909090909091,1.0,0.5833333333333334,0.0,1.0,0.3076923076923077,0.0,0.3333333333333333,1.0,0.10101010101010101,0.75
