num,apps,num_families,total_secs,pre_allocation_secs,allocation_secs,partial_ilp_seconds,pre_allocation_lower_bound_cost,cost,min_pred_cost,num_vms,failed,timed_out,problem_file,solution_file,correct,cost-min_pred_cost,N,M,V,C
0,19,4,102.99728798866272,102.78435373306274,0.2085328102111816,101.84440445899963,2.854,4.00904,2.1111519062944857,10,False,False,out_scaling/20250319_121751/problem_e_0_a_19_f_4.json,out_scaling/20250319_121751/sol_e_0_a_19_f_4.json,True,1.897888093705514,19,105,3.1054353605937677,51.96399953919048
1,79,4,602.6714262962341,602.3361217975616,0.3150010108947754,600.6016547679901,20.477,26.71268,17.982808254490948,10,False,True,out_scaling/20250319_121751/problem_e_1_a_79_f_4.json,out_scaling/20250319_121751/sol_e_1_a_79_f_4.json,False,8.729871745509051,79,105,22.317450784407974,421.4495039500632
2,81,4,255.4313883781433,255.0821542739868,0.3289163112640381,253.37936449050903,13.734949,16.5452,10.121383403271324,12,False,False,out_scaling/20250319_121751/problem_e_2_a_81_f_4.json,out_scaling/20250319_121751/sol_e_2_a_81_f_4.json,True,6.4238165967286776,81,105,15.684739291635381,236.9124649709576
3,14,4,3.577984094619751,3.433647394180298,0.1410071849822998,3.0224955081939697,3.78208,5.520239999999999,2.756135204583491,6,False,False,out_scaling/20250319_121751/problem_e_3_a_14_f_4.json,out_scaling/20250319_121751/sol_e_3_a_14_f_4.json,True,2.7641047954165083,14,105,3.1402172373428816,40.427526003820354
4,40,4,43.34221124649048,43.12575674057007,0.2054641246795654,42.24402689933777,7.2269801,9.27,5.6806954519323,9,False,False,out_scaling/20250319_121751/problem_e_4_a_40_f_4.json,out_scaling/20250319_121751/sol_e_4_a_40_f_4.json,True,3.5893045480677,40,105,7.942965068816735,114.99716890513525
5,82,2,2.06179428100586,1.4717473983764648,0.5691258907318115,0.5435562133789062,32.711,40.316,29.48696024562198,10,False,False,out_scaling/20250319_121751/problem_e_5_a_82_f_2.json,out_scaling/20250319_121751/sol_e_5_a_82_f_2.json,True,10.829039754378023,82,51,29.11057790566336,562.8621382242885
6,42,2,5.675395488739014,5.471695423126221,0.1943602561950683,4.957150220870972,26.362918,32.372,23.83374910938091,6,False,False,out_scaling/20250319_121751/problem_e_6_a_42_f_2.json,out_scaling/20250319_121751/sol_e_6_a_42_f_2.json,True,8.53825089061909,42,54,20.028849541939806,305.89007499772475
7,41,4,3.063065767288208,2.834314107894897,0.2187118530273437,1.9282281398773196,8.9698059,13.8864,7.351672137802969,9,False,False,out_scaling/20250319_121751/problem_e_7_a_41_f_4.json,out_scaling/20250319_121751/sol_e_7_a_41_f_4.json,True,6.534727862197031,41,105,9.20449375345224,138.06117939423345
8,91,4,603.3958148956299,602.9379532337189,0.4332835674285888,600.9618248939514,13.404932,18.94556,9.63943164135936,13,False,True,out_scaling/20250319_121751/problem_e_8_a_91_f_4.json,out_scaling/20250319_121751/sol_e_8_a_91_f_4.json,False,9.30612835864064,91,105,14.315435822787741,268.0562200798855
9,44,4,57.58530068397522,57.39229989051819,0.1819560527801513,56.354795932769775,7.9426645,9.85932,6.50586790270722,10,False,False,out_scaling/20250319_121751/problem_e_9_a_44_f_4.json,out_scaling/20250319_121751/sol_e_9_a_44_f_4.json,True,3.35345209729278,44,105,11.39935335948434,191.92171772233533
