num,apps,num_families,total_secs,pre_allocation_secs,allocation_secs,partial_ilp_seconds,pre_allocation_lower_bound_cost,cost,min_pred_cost,num_vms,failed,timed_out,problem_file,solution_file
261,49,4,105.4391975402832,105.19112229347229,0.236037015914917,104.1396369934082,8.977,12.005600000000001,6.6556099829558955,10,False,False,out_scaling/20250319_121751/problem_e_261_a_49_f_4.json,out_scaling/20250319_121751/sol_e_261_a_49_f_4.json
262,97,3,2.1987578868865967,1.756784200668335,0.41652345657348633,0.24301552772521973,24.919567,32.96624,21.512072261384198,9,False,False,out_scaling/20250319_121751/problem_e_262_a_97_f_3.json,out_scaling/20250319_121751/sol_e_262_a_97_f_3.json
263,20,3,2.213501453399658,2.110760450363159,0.09672713279724121,1.7378666400909424,4.652,5.62708,3.4687228072565657,10,False,False,out_scaling/20250319_121751/problem_e_263_a_20_f_3.json,out_scaling/20250319_121751/sol_e_263_a_20_f_3.json
264,23,3,28.08047652244568,27.163727283477783,0.910736083984375,26.745684385299683,5.257509,7.229519999999999,3.817747823432623,10,False,False,out_scaling/20250319_121751/problem_e_264_a_23_f_3.json,out_scaling/20250319_121751/sol_e_264_a_23_f_3.json
265,39,2,1.3430712223052979,1.060232162475586,0.2710709571838379,0.6003303527832031,30.576,36.896319999999996,28.892911038053082,9,False,False,out_scaling/20250319_121751/problem_e_265_a_39_f_2.json,out_scaling/20250319_121751/sol_e_265_a_39_f_2.json
266,15,4,2.804215669631958,2.7017650604248047,0.09844207763671875,2.3047983646392822,2.0198799999999997,2.70504,1.0193017530539186,8,False,False,out_scaling/20250319_121751/problem_e_266_a_15_f_4.json,out_scaling/20250319_121751/sol_e_266_a_15_f_4.json
267,20,2,1.7844452857971191,1.6124753952026367,0.1659562587738037,1.3282856941223145,9.925,12.56504,9.030597787408178,7,False,False,out_scaling/20250319_121751/problem_e_267_a_20_f_2.json,out_scaling/20250319_121751/sol_e_267_a_20_f_2.json
268,47,3,1.3825907707214355,1.1640770435333252,0.20472145080566406,0.4226253032684326,13.774,17.2284,12.02986158407561,10,False,False,out_scaling/20250319_121751/problem_e_268_a_47_f_3.json,out_scaling/20250319_121751/sol_e_268_a_47_f_3.json
269,20,1,0.5418386459350586,0.1799640655517578,0.354083776473999,0.04544496536254883,26.401,33.552,26.053218386543765,9,False,False,out_scaling/20250319_121751/problem_e_269_a_20_f_1.json,out_scaling/20250319_121751/sol_e_269_a_20_f_1.json
270,8,2,0.3621978759765625,0.27233076095581055,0.08786129951477051,0.11428213119506836,5.4005298,6.7672,4.930065394470631,5,False,False,out_scaling/20250319_121751/problem_e_270_a_8_f_2.json,out_scaling/20250319_121751/sol_e_270_a_8_f_2.json
271,42,4,50.1645884513855,50.00045204162598,0.15235352516174316,49.08082938194275,4.9996148,5.7484399999999996,3.477886274456326,12,False,False,out_scaling/20250319_121751/problem_e_271_a_42_f_4.json,out_scaling/20250319_121751/sol_e_271_a_42_f_4.json
272,44,3,3.7797043323516846,3.55950927734375,0.2104203701019287,2.8843295574188232,13.562622,16.423199999999998,11.7991023402057,8,False,False,out_scaling/20250319_121751/problem_e_272_a_44_f_3.json,out_scaling/20250319_121751/sol_e_272_a_44_f_3.json
273,87,3,12.025514602661133,11.590715169906616,0.4149768352508545,10.256000280380249,21.48,28.05296,17.66601612466942,11,False,False,out_scaling/20250319_121751/problem_e_273_a_87_f_3.json,out_scaling/20250319_121751/sol_e_273_a_87_f_3.json
274,57,2,3.188594341278076,2.8786468505859375,0.29415297508239746,2.2731704711914062,26.469,30.4168,23.828116590480185,10,False,False,out_scaling/20250319_121751/problem_e_274_a_57_f_2.json,out_scaling/20250319_121751/sol_e_274_a_57_f_2.json
275,94,2,1.7897059917449951,1.2469534873962402,0.5171675682067871,0.26734399795532227,39.395629,48.96,36.075835482359416,12,False,False,out_scaling/20250319_121751/problem_e_275_a_94_f_2.json,out_scaling/20250319_121751/sol_e_275_a_94_f_2.json
276,28,1,0.4836859703063965,0.2209644317626953,0.24892234802246094,0.049950599670410156,78.399,80.02599999999998,77.91528801846674,27,False,False,out_scaling/20250319_121751/problem_e_276_a_28_f_1.json,out_scaling/20250319_121751/sol_e_276_a_28_f_1.json
277,77,3,5.60991907119751,5.2564051151275635,0.33345580101013184,3.988966226577759,27.224,36.418240000000004,24.25118280531876,10,False,False,out_scaling/20250319_121751/problem_e_277_a_77_f_3.json,out_scaling/20250319_121751/sol_e_277_a_77_f_3.json
278,87,4,602.7356297969818,602.4395153522491,0.2762947082519531,600.6944372653961,15.903895,20.014960000000002,12.11018714720238,12,False,True,out_scaling/20250319_121751/problem_e_278_a_87_f_4.json,out_scaling/20250319_121751/sol_e_278_a_87_f_4.json
279,32,2,1.0144073963165283,0.7319333553314209,0.272446870803833,0.33698248863220215,20.557526,25.024800000000006,18.699222797630117,7,False,False,out_scaling/20250319_121751/problem_e_279_a_32_f_2.json,out_scaling/20250319_121751/sol_e_279_a_32_f_2.json
280,11,2,0.4642369747161865,0.3454742431640625,0.11273956298828125,0.15990972518920898,6.508,8.487680000000001,5.738748209077871,8,False,False,out_scaling/20250319_121751/problem_e_280_a_11_f_2.json,out_scaling/20250319_121751/sol_e_280_a_11_f_2.json
281,32,4,39.9879367351532,39.74251747131348,0.23765063285827637,39.035558462142944,5.8405181,8.882079999999998,4.739967649387693,11,False,False,out_scaling/20250319_121751/problem_e_281_a_32_f_4.json,out_scaling/20250319_121751/sol_e_281_a_32_f_4.json
282,91,4,602.6283247470856,602.2076256275177,0.40034937858581543,600.3819153308868,19.906,27.397119999999997,16.064554633147395,14,False,True,out_scaling/20250319_121751/problem_e_282_a_91_f_4.json,out_scaling/20250319_121751/sol_e_282_a_91_f_4.json
283,81,2,2.1354219913482666,1.2464299201965332,0.8621580600738525,0.38578176498413086,51.980547,72.09952,48.73613219995667,24,False,False,out_scaling/20250319_121751/problem_e_283_a_81_f_2.json,out_scaling/20250319_121751/sol_e_283_a_81_f_2.json
284,85,4,125.52417588233948,125.12390470504761,0.3804812431335449,123.42974829673767,15.964,20.08296,11.507225638432772,11,False,False,out_scaling/20250319_121751/problem_e_284_a_85_f_4.json,out_scaling/20250319_121751/sol_e_284_a_85_f_4.json
285,16,1,0.20737147331237793,0.146226167678833,0.05713295936584473,0.039388179779052734,17.39,19.0896,16.684841533250463,5,False,False,out_scaling/20250319_121751/problem_e_285_a_16_f_1.json,out_scaling/20250319_121751/sol_e_285_a_16_f_1.json
286,73,2,1.3800361156463623,1.0426344871520996,0.3183741569519043,0.18616914749145508,44.003,49.5472,41.048853816167274,9,False,False,out_scaling/20250319_121751/problem_e_286_a_73_f_2.json,out_scaling/20250319_121751/sol_e_286_a_73_f_2.json
287,31,3,6.341917276382446,6.150739431381226,0.18315434455871582,5.610938310623169,7.3428485,9.5112,5.839940813356569,5,False,False,out_scaling/20250319_121751/problem_e_287_a_31_f_3.json,out_scaling/20250319_121751/sol_e_287_a_31_f_3.json
288,45,2,1.1952705383300781,0.8910107612609863,0.29247426986694336,0.3607027530670166,22.362516,31.271359999999998,20.61962991290088,8,False,False,out_scaling/20250319_121751/problem_e_288_a_45_f_2.json,out_scaling/20250319_121751/sol_e_288_a_45_f_2.json
289,13,2,0.48728346824645996,0.371060848236084,0.11266970634460449,0.17766380310058594,4.111,6.1791599999999995,3.51931146942084,6,False,False,out_scaling/20250319_121751/problem_e_289_a_13_f_2.json,out_scaling/20250319_121751/sol_e_289_a_13_f_2.json
290,61,2,1.0582616329193115,0.8421664237976074,0.1997528076171875,0.20219993591308594,20.359768,23.527200000000004,18.582786589585844,7,False,False,out_scaling/20250319_121751/problem_e_290_a_61_f_2.json,out_scaling/20250319_121751/sol_e_290_a_61_f_2.json
291,85,4,49.24072551727295,48.98862671852112,0.23303699493408203,47.30136728286743,12.858,15.547239999999999,9.237672518603942,13,False,False,out_scaling/20250319_121751/problem_e_291_a_85_f_4.json,out_scaling/20250319_121751/sol_e_291_a_85_f_4.json
292,7,1,0.2091202735900879,0.11842751502990723,0.08868813514709473,0.043939828872680664,8.7552,11.984,8.299133046575257,2,False,False,out_scaling/20250319_121751/problem_e_292_a_7_f_1.json,out_scaling/20250319_121751/sol_e_292_a_7_f_1.json
293,14,2,0.523228645324707,0.4187648296356201,0.10071277618408203,0.18982672691345215,5.1647946,7.391279999999999,4.650011205851891,5,False,False,out_scaling/20250319_121751/problem_e_293_a_14_f_2.json,out_scaling/20250319_121751/sol_e_293_a_14_f_2.json
